[2024-10-02 14:26:16.257]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum tmux-plugins/tmux-pain-control tmux-plugins/tmux-sensible
[2024-10-02 14:33:10.785]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-10-02 14:33:10.898]	 Updating all plugins!
[2024-10-02 14:33:10.898]	 
[2024-10-02 14:33:11.298]	   "tmux-copycat" update success
[2024-10-02 14:33:11.303]	     | Already up to date.
[2024-10-02 14:33:11.309]	   "tmux-cpu" update success
[2024-10-02 14:33:11.313]	     | Already up to date.
[2024-10-02 14:33:11.330]	   "tmux-resurrect" update success
[2024-10-02 14:33:11.335]	     | Already up to date.
[2024-10-02 14:33:11.345]	   "tmux-continuum" update success
[2024-10-02 14:33:11.349]	     | Already up to date.
[2024-10-02 14:33:11.365]	   "tmux-pain-control" update success
[2024-10-02 14:33:11.368]	     | Already up to date.
[2024-10-02 14:33:11.392]	   "tmux" update success
[2024-10-02 14:33:11.397]	     | Already up to date.
[2024-10-02 14:33:11.398]	   "tmux-sensible" update success
[2024-10-02 14:33:11.402]	     | Already up to date.
[2024-10-02 14:33:11.420]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-10-02 14:33:10.898]	 Updating all plugins!
[2024-10-02 14:33:10.898]	 
[2024-10-02 14:33:11.303]	   "tmux-copycat" update success
[2024-10-02 14:33:11.308]	     | Already up to date.
[2024-10-02 14:33:11.348]	   "tmux-cpu" update success
[2024-10-02 14:33:11.353]	     | Already up to date.
[2024-10-02 14:33:11.363]	   "tmux-resurrect" update success
[2024-10-02 14:33:11.366]	     | Already up to date.
[2024-10-02 14:33:11.368]	   "tmux" update success
[2024-10-02 14:33:11.371]	     | Already up to date.
[2024-10-02 14:33:11.392]	   "tmux-continuum" update success
[2024-10-02 14:33:11.399]	     | Already up to date.
[2024-10-02 14:33:11.425]	   "tmux-sensible" update success
[2024-10-02 14:33:11.430]	     | Already up to date.
[2024-10-02 14:33:11.437]	   "tmux-pain-control" update success
[2024-10-02 14:33:11.440]	     | Already up to date.
[2024-10-02 14:33:11.457]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-10-02 14:33:11.493]	 Done.

[2024-10-02 14:33:11.508]	 Done.

[2024-10-02 14:33:23.672]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum tmux-plugins/tmux-pain-control tmux-plugins/tmux-sensible catppuccin/tmux#latest
[2024-10-02 14:33:23.681]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/install_plugins
[2024-10-02 14:33:23.863]	 Already installed "tmux-copycat"
[2024-10-02 14:33:23.864]	 Already installed "tmux-resurrect"
[2024-10-02 14:33:23.864]	 Already installed "tmux-cpu"
[2024-10-02 14:33:23.865]	 Already installed "tmux-pain-control"
[2024-10-02 14:33:23.865]	 Already installed "tmux-continuum"
[2024-10-02 14:33:23.866]	 Already installed "tmux-sensible"
[2024-10-02 14:33:23.866]	 Already installed "tmux"
[2024-10-02 14:33:23.876]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-10-02 14:33:23.993]	 Updating all plugins!
[2024-10-02 14:33:23.993]	 
[2024-10-02 14:33:24.429]	   "tmux-copycat" update success
[2024-10-02 14:33:24.433]	     | Already up to date.
[2024-10-02 14:33:24.465]	   "tmux-cpu" update success
[2024-10-02 14:33:24.468]	     | Already up to date.
[2024-10-02 14:33:24.530]	   "tmux-continuum" update success
[2024-10-02 14:33:24.536]	     | Already up to date.
[2024-10-02 14:33:24.538]	   "tmux-resurrect" update success
[2024-10-02 14:33:24.544]	     | Already up to date.
[2024-10-02 14:33:24.597]	   "tmux-pain-control" update success
[2024-10-02 14:33:24.601]	     | Already up to date.
[2024-10-02 14:33:24.654]	   "tmux-sensible" update success
[2024-10-02 14:33:24.658]	     | Already up to date.
[2024-10-02 14:33:24.661]	   "tmux" update success
[2024-10-02 14:33:24.664]	     | Already up to date.
[2024-10-02 14:33:24.686]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-10-02 14:33:24.785]	 Done.

[2024-10-02 14:34:44.750]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum tmux-plugins/tmux-pain-control tmux-plugins/tmux-sensible catppuccin/tmux#latest
[2024-10-02 14:34:44.750]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum tmux-plugins/tmux-pain-control tmux-plugins/tmux-sensible catppuccin/tmux#latest
[2024-10-02 14:34:44.759]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/install_plugins
[2024-10-02 14:34:44.759]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/install_plugins
[2024-10-02 14:34:44.954]	 Already installed "tmux-copycat"
[2024-10-02 14:34:44.957]	 Already installed "tmux-resurrect"
